date,netWgt,fobvalue,price_usd_per_ton,chemical
2025-01-01,866808463.252,140244848.57999998,161.79450769763397,Sulphur
2025-02-01,994875140.878,159139661.095,159.959430642277,Sulphur
2025-03-01,975829419.968,169535112.694,173.73437326736828,Sulphur
2025-04-01,1015978171.694,225681356.806,222.13209209968383,Sulphur
2025-05-01,707658491.462,161923763.935,228.81625231468732,Sulphur
2025-06-01,1127498594.567,295641807.053,262.2103552745776,Sulphur
2025-07-01,887036512.118,220029863.416,248.05051473093144,Sulphur
2025-08-01,705222198.758,181318394.80900002,257.10817828526723,Sulphur
2025-09-01,899203033.709,231298130.03399998,257.22570027366334,Sulphur
2025-10-01,699198072.265,209333097.27,299.39026661197886,Sulphur
2025-11-01,145394975.296,44375272.665,305.2049947025977,Sulphur
2025-12-01,99306501.16,31510405.951,317.30456297348826,Sulphur
